rank_test_score,mean_test_score,std_test_score,mean_fit_time,hidden_layer_sizes,activation,solver,alpha
3,0.9351257949470494,0.0044995041514198295,3.728217363357544,"(32,)",relu,adam,0.0001
19,0.34312665155415206,0.014801593848359185,1.6323360602060955,"(32,)",relu,sgd,0.0001
12,0.908628638224423,0.022236330153162995,4.817121267318726,"(32, 16)",relu,adam,0.0001
23,0.20025000625859501,3.5403959834506675e-05,1.1052507559458415,"(32, 16)",relu,sgd,0.0001
10,0.923749169388335,0.007840018708502941,4.300055901209514,"(64, 32)",relu,adam,0.0001
13,0.4421275922655204,0.016612663754945054,3.532512982686361,"(64, 32)",relu,sgd,0.0001
1,0.9403778109881801,0.016138302186984775,3.3966569105784097,"(32,)",relu,adam,0.01
21,0.3352502448821804,0.003783423252158975,1.7012484868367512,"(32,)",relu,sgd,0.01
5,0.9308761854880667,0.012126023831269763,5.2121163209279375,"(32, 16)",relu,adam,0.01
23,0.20025000625859501,3.5403959834506675e-05,1.1065499782562256,"(32, 16)",relu,sgd,0.01
9,0.9257512165817983,0.013781160652992274,4.229403018951416,"(64, 32)",relu,adam,0.01
14,0.42100635770116135,0.04644605139629626,2.431469281514486,"(64, 32)",relu,sgd,0.01
4,0.9341269044295194,0.010777429377777613,4.995912472407023,"(32,)",tanh,adam,0.0001
16,0.3812458082649646,0.02397198160119346,1.1809330781300862,"(32,)",tanh,sgd,0.0001
6,0.9306249978317602,0.0030615040633370496,4.373075723648071,"(32, 16)",tanh,adam,0.0001
18,0.3459995107513287,0.0031627236000686242,1.2623907725016277,"(32, 16)",tanh,sgd,0.0001
8,0.9280001852731649,0.002114850602010148,4.504194895426433,"(64, 32)",tanh,adam,0.0001
17,0.36250077705028055,0.007413592617236778,1.639189879099528,"(64, 32)",tanh,sgd,0.0001
2,0.9361263731755961,0.008592798415003246,3.9999496142069497,"(32,)",tanh,adam,0.01
15,0.39299560548179785,0.029355750506616363,1.6478652954101562,"(32,)",tanh,sgd,0.01
7,0.9302489664410855,0.007827565828202949,4.164515415827434,"(32, 16)",tanh,adam,0.01
22,0.31075551039990973,0.0472530307323591,1.1243807474772136,"(32, 16)",tanh,sgd,0.01
11,0.9231262633806182,0.019567617566292706,4.481526295344035,"(64, 32)",tanh,adam,0.01
20,0.3422436036455683,0.03660047278627989,1.5384982426961262,"(64, 32)",tanh,sgd,0.01
